LNG;LAT;ID;NOMBRE;NOM_MAP;OBJETO;CALLE;ALTURA;DOM_GEO;TELEFONO;GUARDIA;FAX;WEB;TIPO;TIPO_ESPEC;MOD_AT_1;MOD_AT_2;DEPEND_ADM;DIRECTOR;DOM_NORMA;BARRIO;COMUNA;CODIGO_POSTAL;COD_POSTAL
-58.3775508488443;-34.6288473603882;1;HOSPITAL GENERAL DE NIÑOS PEDRO DE ELIZALDE;HOSP. DE ELIZALDE;HOSPITAL;MANUEL A. MONTES DE OCA;40;40 MONTES DE OCA, MANUEL AV.;4307-5842 / 5844;4307-5442 / 4300-1700;4302-7400;WWW.ELIZALDE.GOV.AR;HOSPITAL DE NIÑOS;PEDIATRIA;AT. AMB./INTERNACION;DIAG./TRATAM.;MINISTERIO DE SALUD GCBA;DR. NORBERTO GARROTE;MONTES DE OCA, MANUEL AV. 40;BARRACAS;COMUNA 4;1270;C1270AAN
-58.4120700769456;-34.5941919726393;2;HOSPITAL GENERAL DE NIÑOS RICARDO GUTIERREZ;HOSP. GUTIERREZ;HOSPITAL;GALLO;1330;1330 GALLO;4962-9247 / 9248 / 9280;4962-9232;4962-3762;WWW.GUTI.GOV.AR;HOSPITAL DE NIÑOS;PEDIATRIA;AT. AMB./INTERNACION;DIAG./TRATAM.;MINISTERIO DE SALUD GCBA;DR. CRISTINA GALOPPO;GALLO 1330;RECOLETA;COMUNA 2;1425;C1425EFD
-58.4005143372538;-34.5847671286454;4;HOSPITAL DE ODONTOLOGIA DR. RAMON CARRILLO (EX NACIONAL);HOSP. ODONTOLOGICO CARRILLO;HOSPITAL;SANCHEZ DE BUSTAMANTE;2529;2529 SANCHEZ DE BUSTAMANTE;4805-5521 / 7533;4805-6407;4805-7533; ;HOSPITAL ESPECIALIZADO;ODONTOLOGIA;AT. AMBULATORIA;DIAG./TRATAM.;MINISTERIO DE SALUD GCBA;DRA. ALICIA ALBORNOZ;SANCHEZ DE BUSTAMANTE 2529;RECOLETA;COMUNA 2;1425;C1425DUY
-58.3851559118889;-34.6394041316484;6;HOSPITAL DE SALUD MENTAL BRAULIO MOYANO;HOSP. MOYANO;HOSPITAL;BRANDSEN;2570;2570 BRANDSEN;4301-3655 / 3659;4301-4522;4303-3655/59;WWW.MOYANO.ORG.AR;HOSPITAL ESPECIALIZADO;SALUD MENTAL;AT. AMB./INTERNACION;DIAG./TRATAM.;MINISTERIO DE SALUD GCBA;DRA. NORMA DERITO;BRANDSEN 2570;BARRACAS;COMUNA 4;1287;C1287ABJ
-58.3913114406535;-34.6341535760002;7;HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO;HOSP. UDAONDO;HOSPITAL;CASEROS;2061;2061 CASEROS AV.;4306-4641 AL 4649;4306-4641 AL 49 (INT. 125);4306-3013; ;HOSPITAL ESPECIALIZADO;ENF. APAR. DIGESTIVO;AT. AMB./INTERNACION;DIAG./TRATAM.;MINISTERIO DE SALUD GCBA;DR. EDUARDO GUSTAVO SOSA;CASEROS AV. 2061;PARQUE PATRICIOS;COMUNA 4;1264;C1264AAA
-58.4349433479819;-34.6084721257413;8;INSTITUTO DE ZOONOSIS L. PASTEUR;INST. PASTEUR;HOSPITAL;DIAZ VELEZ;4821;4821 DIAZ VELEZ AV.;4958-9900;4982-8421 / 4504 / 6666;4983-7300; ;HOSPITAL ESPECIALIZADO;ZOONOSIS;AT. AMBULATORIA;DIAG./TRATAM.;MINISTERIO DE SALUD GCBA;DR. OSCAR ENRIQUE LENCINAS;DIAZ VELEZ AV. 4821;CABALLITO;COMUNA 6;1405;C1405DCD
-58.3758433488021;-34.6302112044495;9;HOSPITAL DE REHABILITACION RESPIRATORIA M. FERRER;HOSP. FERRER;HOSPITAL;DOCTOR ENRIQUE FINOCHIETTO;849;849 FINOCHIETTO ENRIQUE DR.;4307-1445 / 4677 / 6777 / 6738 / 7474;4307-1445 (INT. 145);4307-2567; ;HOSPITAL ESPECIALIZADO;NEUMONOLOGIA;AT. AMB./INTERNACION;DIAG./TRATAM.;MINISTERIO DE SALUD GCBA;DR. EDUARDO SCHIAVI;FINOCHIETTO ENRIQUE DR. 849;BARRACAS;COMUNA 4;1272;C1272AAA
-58.3823284509488;-34.6357022351559;10;HOSPITAL INFANTO JUVENIL C. TOBAR GARCIA;HOSP. TOBAR GARCIA;HOSPITAL;DOCTOR RAMON CARRILLO;315;315 CARRILLO, RAMON, DR.;4305-6108;4304-6666;4304-4911; ;HOSPITAL ESPECIALIZADO;SALUD MENTAL;AT. AMB./INTERNACION;DIAG./TRATAM.;MINISTERIO DE SALUD GCBA;DR. GUILLERMO VEGA;CARRILLO, RAMON, DR. 315;BARRACAS;COMUNA 4;1275;C1275AHG
-58.3821283746958;-34.6364350546569;11;HOSPITAL DE SALUD MENTAL J. T. BORDA;HOSP. BORDA;HOSPITAL;DOCTOR RAMON CARRILLO;375;375 CARRILLO, RAMON, DR.;4305-6485;4305-6666 / 6485;4304-1200; ;HOSPITAL ESPECIALIZADO;SALUD MENTAL;AT. AMB./INTERNACION;DIAG./TRATAM.;MINISTERIO DE SALUD GCBA;DR. RICARDO PICASSO;CARRILLO, RAMON, DR. 375;BARRACAS;COMUNA 4;1275;C1275AHG
-58.3601201271455;-34.6388917320834;12;HOSPITAL DE ODONTOLOGIA INFANTIL DON BENITO QUINQUELA MARTIN;HOSP. ODONTOLOGICO INFANTIL QUINQUELA MARTIN;HOSPITAL;DON PEDRO DE MENDOZA;1795;1795 DON PEDRO DE MENDOZA AV.;4360- 3900 / 4301-4870 / 4834 / 4302-9492 / 9510;4301-4870;4301-4870; ;HOSPITAL ESPECIALIZADO;ODONTOLOGIA;AT. AMBULATORIA;DIAG./TRATAM.;MINISTERIO DE SALUD GCBA;DRA. RENEE DI NALLO;DON PEDRO DE MENDOZA AV. 1795;BOCA;COMUNA 4;1169;C1169AAB
-58.4409882382439;-34.5538963316473;13;INSTITUTO DE REHABILITACION PSICOFISICA (I.R.E.P.);INST. DE REHAB. PSICOFISICA;HOSPITAL;ECHEVERRIA;955;955 ECHEVERRIA;4781-6071 AL 74;4784-1225;478-30398; ;HOSPITAL ESPECIALIZADO;MED. FISICA/REHABILITACION;AT. AMB./INTERNACION;DIAG./TRATAM.;MINISTERIO DE SALUD GCBA;DRA. SILVINA AJOLFI;ECHEVERRIA 955;BELGRANO;COMUNA 13;1428;C1428DQG
-58.4027506275377;-34.634856308415;14;HOSPITAL MATERNO INFANTIL R. SARDA;HOSP. SARDA;HOSPITAL;ESTEBAN DE LUCA;2151;2151 LUCA, ESTEBAN DE;4943-3567;4943-4250;494-34966;WWW.SARDA.ORG.AR;HOSPITAL ESPECIALIZADO;MATERNO-INFANTIL;AT. AMB./INTERNACION;DIAG./TRATAM.;MINISTERIO DE SALUD GCBA;DRA. ELSA ANDINA;LUCA, ESTEBAN DE 2151;PARQUE PATRICIOS;COMUNA 4;1246;C1246ABQ
-58.4601855775528;-34.6054342750207;15;HOSPITAL OFTALMOLOGICO DR. PEDRO LAGLEYZE;HOSP. LAGLEYZE;HOSPITAL;JUAN B. JUSTO;4151;4151 JUSTO, JUAN B. AV.;4582-1278 / 4581-7766 / 0645;4581-0645 / 7766 / 2792  4582-8235 / 1278 (INT. 108);4582-1278; ;HOSPITAL ESPECIALIZADO;OFTALMOLOGIA;AT. AMB./INTERNACION;DIAG./TRATAM.;MINISTERIO DE SALUD GCBA;DR. FERNANDO SCATTINI;JUSTO, JUAN B. AV. 4151;VILLA GRAL. MITRE;COMUNA 11;1416;C1416DJI
