REGIMEN;UNIVERSIDA;UNIV_C;UNIDAD_ACA;UNAC_C;ANEXO_C;UNICUE;CUI;TELEF;FAX;WEB;DIRECCION_NORM;CALLE;ALTURA;WKT_GKBA;BARRIO;COMUNA;CODIGO_POSTAL;CODIGO_POSTAL_ARGENTINO;LAT;LNG
PRIVADO;FLACSO (FACULTAD LATINOAMERICANA DE CIENCIAS SOCIALES);1;RECTORADO;1;0;100100;2546;5238-9339 (C)5238-9300;4375-1373;WWW.FLACSO.ORG.AR;AYACUCHO 555;AYACUCHO;555;POINT(106224.799155 102947.75444);BALVANERA;COMUNA 3;1026;C1026AAC;-34.60267564629851;-58.39544016593388
PRIVADO;INSTITUTO TECNOLOGICO DE BUENOS AIRES;2;RECTORADO;1;0;200100;2456;63934813 [C]6393-4810;6393-4813;WWW.ITBA.EDU.AR;"MADERO; EDUARDO AV. 399";"MADERO; EDUARDO AV.";399;POINT(108739.830076 102872.762065);PUERTO MADERO;COMUNA 1;1106;C1106ACD;-34.60333330739023;-58.36802173779724
PRIVADO;INSTITUTO TECNOLOGICO DE BUENOS AIRES;2;DEPARTAMENTO DE INVESTIGACION;7;0;200700;2456;6393-4869;6393-4869;;"MADERO; EDUARDO AV. 399";"MADERO; EDUARDO AV.";399;POINT(108739.830076 102872.762065);PUERTO MADERO;COMUNA 1;1106;C1106ACD;-34.60333330739023;-58.36802173779724
PRIVADO;INSTITUTO TECNOLOGICO DE BUENOS AIRES;2;AREA DE ENERGIA;40;0;204000;2456;6393-4870;6393-4870;;"MADERO; EDUARDO AV. 399";"MADERO; EDUARDO AV.";399;POINT(108739.830076 102872.762065);PUERTO MADERO;COMUNA 1;1106;C1106ACD;-34.60333330739023;-58.36802173779724
PRIVADO;INSTITUTO TECNOLOGICO DE BUENOS AIRES;2;DEPARTAMENTO DE BIOINGENIERIA;87;0;208700;2456;6393-4893;6393-4893;;"MADERO; EDUARDO AV. 399";"MADERO; EDUARDO AV.";399;POINT(108739.830076 102872.762065);PUERTO MADERO;COMUNA 1;1106;C1106ACD;-34.60333330739023;-58.36802173779724
PRIVADO;INSTITUTO TECNOLOGICO DE BUENOS AIRES;2;DEPARTAMENTO DE DESARROLLO HUMANO;103;0;210300;2456;6393-4886;6393-4886;;"MADERO; EDUARDO AV. 399";"MADERO; EDUARDO AV.";399;POINT(108739.830076 102872.762065);PUERTO MADERO;COMUNA 1;1106;C1106ACD;-34.60333330739023;-58.36802173779724
PRIVADO;INSTITUTO TECNOLOGICO DE BUENOS AIRES;2;DEPARTAMENTO DE ECONOMIA Y DESARROLLO PROFESIONAL;109;0;210900;2456;6393-4877;6393-4877;;"MADERO; EDUARDO AV. 399";"MADERO; EDUARDO AV.";399;POINT(108739.830076 102872.762065);PUERTO MADERO;COMUNA 1;1106;C1106ACD;-34.60333330739023;-58.36802173779724
PRIVADO;INSTITUTO TECNOLOGICO DE BUENOS AIRES;2;DEPARTAMENTO DE EXTENSION UNIVERSITARIA Y VICULACION TECNOLOGICA;112;0;211200;2456;6393-5984;6393-5984;;"MADERO; EDUARDO AV. 399";"MADERO; EDUARDO AV.";399;POINT(108739.830076 102872.762065);PUERTO MADERO;COMUNA 1;1106;C1106ACD;-34.60333330739023;-58.36802173779724
PRIVADO;INSTITUTO TECNOLOGICO DE BUENOS AIRES;2;DEPARTAMENTO DE FISICA;114;0;211400;2456;6393-5867;6393-5867;;"MADERO; EDUARDO AV. 399";"MADERO; EDUARDO AV.";399;POINT(108739.830076 102872.762065);PUERTO MADERO;COMUNA 1;1106;C1106ACD;-34.60333330739023;-58.36802173779724
PRIVADO;INSTITUTO TECNOLOGICO DE BUENOS AIRES;2;DEPARTAMENTO DE INGENIERIA ELECTRICA;120;0;212000;2456;6393-4829;6393-4829;;"MADERO; EDUARDO AV. 399";"MADERO; EDUARDO AV.";399;POINT(108739.830076 102872.762065);PUERTO MADERO;COMUNA 1;1106;C1106ACD;-34.60333330739023;-58.36802173779724
PRIVADO;INSTITUTO TECNOLOGICO DE BUENOS AIRES;2;DEPARTAMENTO DE INGENIERIA ELECTRICA Y ELECTRONICA;121;0;212100;2456;6393-5883;6393-5883;;"MADERO; EDUARDO AV. 399";"MADERO; EDUARDO AV.";399;POINT(108739.830076 102872.762065);PUERTO MADERO;COMUNA 1;1106;C1106ACD;-34.60333330739023;-58.36802173779724
